"SECTION","SUBSECTION","FILE NAME","TYPE","PURPOSE","EXAMPLES / DETAILS","CREATION STATUS"
"CURSOR IDE CONFIGURATION","Project-Level Files",".cursorrules","Markdown","LEGACY system prompts (being phased out)","# You are an expert engineer. Follow SOLID principles. Avoid over-engineering.","❌ Not created"
"CURSOR IDE CONFIGURATION","Project-Level Files",".cursor/settings.json","JSON","IDE settings, keybindings, themes, extensions config","{""theme"": ""dracula"", ""fontSize"": 14, ""extensions"": [""eslint"", ""prettier""]}","❌ Not created"
"CURSOR IDE CONFIGURATION","Project-Level Files",".cursor/system-prompts.md","Markdown","Default system prompts for AI behavior","You are Claude, an AI assistant. You write clean, tested code.","❌ Not created"
"CURSOR IDE CONFIGURATION","Project-Level Files",".cursor/rules/*.mdc","Markdown Components","Individual rule files (NEW STANDARD replacing .cursorrules)","engineering.mdc, safety.mdc, style-guide.mdc, agents.mdc, learning.mdc","❌ Not created"
"CURSOR IDE CONFIGURATION","Agent Configuration","agents.json","JSON","Define AI agents: roles, models, capabilities, cost ceilings","Architect (gpt-4o, 4096 tokens, $2/run), Code (gpt-4o, 8192 tokens, $3/run), Test (gpt-4o-mini, 2048 tokens, $1/run)","✅ Created in deployment package"
"CURSOR IDE CONFIGURATION","Agent Configuration","tools.json","JSON","Define available tools and permissions","{""tools"": [{""name"": ""file_read"", ""enabled"": true}, {""name"": ""terminal"", ""policy"": ""require_approval""}]}","❌ Not created"
"CURSOR IDE CONFIGURATION","Prompts & Workflows","prompts/","Directory","Store prompt templates for different agent roles","architect-system-prompt.md, code-review-prompt.md, test-strategy-prompt.md, cynic-critique-prompt.md","❌ Not created"
"CURSOR IDE CONFIGURATION","Prompts & Workflows","workflows/","Directory","Automation workflow configurations","deployment-pipeline.yaml, review-gate.yaml, testing-flow.yaml, learning-loop.yaml","❌ Not created"
"CURSOR IDE CONFIGURATION","MCP Integration","mcp.json","JSON","Model Context Protocol server definitions","{""mcpServers"": {""supabase"": {""command"": ""node"", ""args"": [""./mcp-supabase.js""]}}}","❌ Not created"
"CURSOR IDE CONFIGURATION","User-Level","~/.cursor/settings.json","JSON","Global Cursor IDE settings (all projects)","Applies to all projects, overrideable per-project","❌ Not created"
"GOOGLE ANTIGRAVITY CONFIGURATION","Core Configuration",".antigravity/rules.md","Markdown","Agent rules, permissions, and operating guidelines","Architect: Can access red zones | Test: Only green zones | Cynic: Red/yellow zones only","❌ Not created"
"GOOGLE ANTIGRAVITY CONFIGURATION","Core Configuration",".antigravity/settings.json","JSON","Antigravity IDE settings and preferences","{""theme"": ""dark"", ""deep_think_enabled"": true, ""auto_execution"": ""with_approval""}","❌ Not created"
"GOOGLE ANTIGRAVITY CONFIGURATION","Core Configuration","workspace.json","JSON","Workspace configuration, trust levels, file permissions","{""workspace_name"": ""CodeRed"", ""trusted_folders"": [""/src"", ""/schemas""], ""file_access_policy"": ""strict""}","❌ Not created"
"GOOGLE ANTIGRAVITY CONFIGURATION","Security & Policy",".antigravity/trust-config.json","JSON","File access permissions and trust levels for agents","{""trusted_paths"": [""/src""], ""untrusted_paths"": [""/admin""], ""require_approval"": [""*.sql"", ""*.env*""]}","❌ Not created"
"GOOGLE ANTIGRAVITY CONFIGURATION","Security & Policy",".antigravity/terminal-policy.json","JSON","Terminal command execution policy (auto/require_approval/deny)","{""default_policy"": ""require_approval"", ""allow_list"": [""npm install""], ""deny_list"": [""rm -rf""]}","❌ Not created"
"GOOGLE ANTIGRAVITY CONFIGURATION","Agent Modes",".antigravity/agent-modes/","Directory","Different agent operating modes and configurations","architect.json, code.json, test.json, review.json, cynic.json, orchestrator.json","❌ Not created"
"GOOGLE ANTIGRAVITY CONFIGURATION","MCP Integration","mcp_config.json","JSON","Antigravity-specific MCP server registration","{""mcpServers"": {""database"": {...}, ""filesystem"": {...}, ""tools"": {...}}}","❌ Not created"
"CLAUDE CODE TERMINAL CONFIGURATION","CLI Configuration",".claude/commands/","Directory","Custom slash commands for Claude Code CLI","/deploy, /test, /review, /build, /analyze, /commit","❌ Not created"
"CLAUDE CODE TERMINAL CONFIGURATION","CLI Configuration",".claude/commands/*.md","Markdown","Individual command definitions and descriptions","/deploy - Deploy to Supabase | /test - Run test suite | /review - Code review","❌ Not created"
"CLAUDE CODE TERMINAL CONFIGURATION","CLI Configuration",".claude/hooks/","Directory","Hook scripts executed on specific events","pre-commit.sh, post-deploy.sh, on-error.sh, on-test-pass.sh","❌ Not created"
"CLAUDE CODE TERMINAL CONFIGURATION","MCP Servers",".claude/mcp-servers.json","JSON","Register MCP servers for Claude Code CLI","{""servers"": {""supabase"": {...}, ""github"": {...}, ""tools"": {...}}}","❌ Not created"
"CLAUDE CODE TERMINAL CONFIGURATION","Settings",".claude/settings.json","JSON","Claude Code CLI preferences and defaults","{""default_model"": ""claude-opus-4.5"", ""context_window"": ""adaptive"", ""auto_commit"": false}","❌ Not created"
"CLAUDE CODE TERMINAL CONFIGURATION","Profiles",".claude/profiles/","Directory","Different workflow profiles (dev, deploy, review, analyze)","dev-profile.json, deploy-profile.json, review-profile.json, analyze-profile.json","❌ Not created"
"ANTIGRAVITYCODRED DATABASE BACKEND","Schema & Migrations","03_SCHEMA/0001_codered_base.sql","SQL","Create 19 database tables with 15+ indexes and functions","codered.agents, codered.projects, codered.tasks, codered.embeddings (+ 15 more)","✅ Created & ready to deploy - PHASE 1"
"ANTIGRAVITYCODRED DATABASE BACKEND","Data Initialization","01_DEPLOYMENT_SCRIPTS/seed-agents.sql","SQL","Insert 5 AI agents into database: Architect, Code, Test, Review, Cynic","Each with: id, name, role, model (gpt-4o or gpt-4o-mini), max_tokens, temperature, cost_ceiling_usd","✅ Created & ready to deploy - PHASE 2"
"ANTIGRAVITYCODRED DATABASE BACKEND","Data Initialization","01_DEPLOYMENT_SCRIPTS/setup-rag.sql","SQL","Initialize RAG system (vector embeddings, search functions, corpus)","CREATE EXTENSION vector | CREATE TABLE embeddings | CREATE FUNCTION search_embeddings()","✅ Created & ready to deploy - PHASE 3"
"ANTIGRAVITYCODRED DATABASE BACKEND","Documentation","architecture.md","Markdown","Database architecture, table relationships, schema design","19 tables: core (7), ci/cd (3), rag (4), learning (3), governance (2) = 24 total","✅ Created & in package"
"ANTIGRAVITYCODRED DATABASE BACKEND","Documentation","DATABASE_SCHEMA.md","Markdown","Detailed table definitions, columns, constraints, indexes","Each table documented with: purpose, columns, types, constraints, foreign keys, indexes","❌ Needs creation"
"ANTIGRAVITYCODRED DATABASE BACKEND","Documentation","API_SCHEMA.md","Markdown","REST API endpoints, request/response formats, authentication","POST /api/agents, GET /api/projects, PUT /api/tasks/{id}, DELETE /api/tasks/{id}","❌ Needs creation"
"ANTIGRAVITYCODRED DATABASE BACKEND","Deployment","02_DOCUMENTATION/DEPLOYMENT_GUIDE.md","Markdown","Complete step-by-step deployment instructions for 3 phases","Phase 1: Deploy Schema (5-10 min) → Phase 2: Seed Agents (1-2 min) → Phase 3: Setup RAG (1-2 min)","✅ Created & in package"
"ANTIGRAVITYCODRED DATABASE BACKEND","Deployment","02_DOCUMENTATION/QUICK_START.md","Markdown","Quick reference guide for deployment (3 minutes to read)","Read this first → Open Supabase → Execute 3 SQL phases → Done in 30 minutes total","✅ Created & in package"
"INTEGRATION LAYER (TO BE CREATED)","API Client","lib/codered-api-client.ts","TypeScript","Client library for Cursor to connect to CodeRed database","createProject(), logAgentRun(), trackCost(), searchDocuments(), updateTask()","❌ Needs creation"
"INTEGRATION LAYER (TO BE CREATED)","Sync Engine","lib/sync-engine.ts","TypeScript","Real-time sync of agent work from IDE to database","Agent creates file → API call → Project table updated → Cost logged → Dashboard updated","❌ Needs creation"
"INTEGRATION LAYER (TO BE CREATED)","Documentation","INTEGRATION_PLAN.md","Markdown","How Cursor IDE and CodeRed database communicate and sync","End-to-end flow: IDE agent action → Cursor captures → API sends → CodeRed stores → Returns to IDE","❌ Needs creation"
"WHAT WE HAVE CREATED","Organization","/Desktop/CodeRedAGandCursorsetup/","Folder","Single source of truth - ALL CodeRed deployment files organized","01_DEPLOYMENT_SCRIPTS/, 02_DOCUMENTATION/, 03_SCHEMA/, 04_SESSION_TRANSCRIPTS/, 05_IDE_CURSOR_ANALYSIS/","✅ 100% Complete"
"WHAT WE HAVE CREATED","Deployment Package","Phase 1 - Schema Deployment","Ready to Deploy","Database structure (19 tables, 15+ indexes)","Supabase: Execute 0001_codered_base.sql in SQL Editor","✅ Complete - 5-10 min to execute"
"WHAT WE HAVE CREATED","Deployment Package","Phase 2 - Agent Seeding","Ready to Deploy","5 AI agents registered in database","Supabase: Execute seed-agents.sql in SQL Editor","✅ Complete - 1-2 min to execute"
"WHAT WE HAVE CREATED","Deployment Package","Phase 3 - RAG Setup","Ready to Deploy","Vector embedding system and semantic search","Supabase: Execute setup-rag.sql in SQL Editor","✅ Complete - 1-2 min to execute"
"WHAT WE HAVE CREATED","Documentation","Deployment Guides","Complete","Everything needed to deploy CodeRed database","QUICK_START.md, DEPLOYMENT_GUIDE.md, DEPLOYMENT_SUMMARY.txt, RESOURCES_INDEX.md","✅ 4 guides created"
"WHAT WE HAVE CREATED","Documentation","Analysis & Consolidation","Complete","IDE orchestration analysis and project consolidation findings","EXECUTIVE_SUMMARY.md, IDE_REPOS_COMPARISON.md, CONSOLIDATION_SUMMARY.md","✅ 3 analysis documents"
"WHAT WE HAVE CREATED","Archive","IDE Duplicate","Archived","Old duplicate IDE orchestration system (no longer used)","Moved to: /githubrepos/ARCHIVED/cursor-ide-duplicate-archived-2025-12-15/","✅ Safely archived"
"WHAT WE HAVE CREATED","Simplification","Single Source of Truth","Active","CodeRed deployment consolidated into one organized package","Before: Files scattered across 3 locations | After: Everything in CodeRedAGandCursorsetup/","✅ Complete"
